
Sense HAT Test Program ...

Raspberry UTC Start2021-10-22 14:29:46.079776
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-22 14:29:54.129861 , -26.1329071, -13.0256567, -49.7951824, 0.0833740, -0.3654785, 1.0225220, -12.8353659, -8.1402439, 9.4207317, -92.5000000, -36.6250000, -28.8750000
2021-10-22 14:29:54.425950 , -25.5944942, -10.6053846, -45.1668216, 0.0332031, -0.4072266, 0.9915771, 11.1280488, 11.7682927, 7.9573171, -102.2500000, -43.3750000, -24.5000000
2021-10-22 14:29:54.722070 , -24.6188003, -8.4758642, -42.0013667, 0.0261841, -0.3627930, 1.0395508, -0.1524390, 5.7621951, 9.5121951, -107.1250000, -56.0000000, -26.1250000
2021-10-22 14:29:55.017444 , -24.6762090, -7.3509742, -38.6556721, 0.0324097, -0.4132690, 0.9501343, 1.2195122, -4.2987805, 4.8170732, -111.1250000, -51.7500000, -24.0000000
2021-10-22 14:29:55.313528 , -23.6780646, -6.3698137, -35.6045006, 0.0357056, -0.3562012, 1.0021362, 5.5182927, -3.6280488, 8.8109756, -111.8750000, -47.2500000, -25.0000000
2021-10-22 14:29:55.609813 , -22.8613591, -5.7795168, -33.2601564, 0.0505981, -0.3392334, 1.0244751, -1.1890244, 1.4024390, -4.4817073, -116.8750000, -43.2500000, -23.2500000
2021-10-22 14:29:55.906058 , -21.0917868, -4.6137166, -30.5626374, 0.0178223, -0.2910767, 1.0283813, 11.1585366, 1.9207317, 9.8170732, -115.8750000, -41.1250000, -20.6250000
2021-10-22 14:29:56.201841 , -20.3046633, -4.3309830, -28.0731266, 0.0665283, -0.2943115, 1.0059204, 1.1585366, 2.7134146, 4.9695122, -114.7500000, -34.7500000, -20.6250000
2021-10-22 14:29:56.498669 , -18.8589438, -3.6169627, -26.5722608, 0.0395508, -0.2359009, 1.0381470, -0.7317073, 6.6158537, 0.8231707, -113.7500000, -38.0000000, -17.2500000
2021-10-22 14:29:56.795447 , -18.1449513, -3.4895258, -25.0524767, 0.0540771, -0.2725830, 1.0381470, -0.2743902, 1.8597561, -2.5304878, -116.6250000, -34.7500000, -18.6250000
2021-10-22 14:29:57.091574 , -18.7701696, -3.2329185, -24.5836212, 0.0113525, -0.3377686, 0.9489136, -5.8841463, -7.2865854, -1.0670732, -118.0000000, -47.5000000, -17.3750000
2021-10-22 14:29:57.388175 , -18.8323452, -2.8930377, -24.8001911, 0.0474243, -0.3686523, 1.0457153, 1.4024390, 5.3658537, -4.6951220, -121.3750000, -51.0000000, -19.3750000
2021-10-22 14:29:57.684614 , -19.1085585, -2.2507880, -25.1127441, 0.0015869, -0.3736572, 1.0036621, 1.0975610, 3.1707317, -7.1341463, -119.1250000, -53.0000000, -13.5000000
2021-10-22 14:29:57.980596 , -19.6816495, -1.8107542, -25.2784985, -0.0035400, -0.3989258, 1.0133057, -1.4024390, 1.5548780, -9.9085366, -122.2500000, -51.5000000, -15.7500000
2021-10-22 14:29:58.287598 , -20.3671415, -0.7064822, -25.2931519, -0.0376587, -0.4020386, 0.9569702, -0.4878049, 7.3475610, -4.4207317, -123.2500000, -53.2500000, -13.6250000
2021-10-22 14:29:58.584093 , -21.0403029, -0.4979411, -25.2534880, -0.0058594, -0.3903198, 1.0036011, -10.0914634, 0.2743902, -1.5853659, -119.1250000, -54.0000000, -12.5000000
2021-10-22 14:29:58.898665 , -20.9177136, -0.6774996, -25.5029798, 0.0283813, -0.3907471, 0.9936523, 4.6646341, 1.4634146, -1.0365854, -114.8750000, -55.7500000, -11.7500000
2021-10-22 14:29:59.203732 , -21.2054906, -0.4372744, -24.6947101, 0.0051880, -0.4244995, 0.9698486, 5.8231707, 3.3536585, -0.3048780, -119.3750000, -45.5000000, -12.5000000
2021-10-22 14:29:59.539176 , -21.3920190, 0.1406675, -23.6822882, -0.0344238, -0.4137573, 0.9926758, 1.9817073, 3.6890244, -5.0609756, -122.7500000, -39.7500000, -12.2500000
2021-10-22 14:29:59.843829 , -20.8930439, -0.2651107, -22.5444868, 0.0251465, -0.3342285, 1.0043945, -4.3597561, 3.4451220, -14.6646341, -125.6250000, -33.2500000, -7.8750000
2021-10-22 14:30:00.169005 , -21.4980287, -0.5435517, -20.6437375, 0.0300293, -0.4547119, 0.9844971, 6.3719512, 4.6646341, -10.6097561, -137.5000000, -24.1250000, -12.7500000
2021-10-22 14:30:00.466742 , -22.0194584, -0.1887677, -19.6295350, -0.0127563, -0.3989868, 0.9573975, -4.0243902, 8.6890244, -15.7317073, -158.3750000, -28.6250000, -18.8750000
2021-10-22 14:30:00.762720 , -22.8024340, 0.4477921, -18.8203395, -0.0729980, -0.4912109, 0.9598999, 7.6219512, 0.3963415, -13.5670732, -164.5000000, -32.8750000, -20.3750000
2021-10-22 14:30:01.054857 , -20.1756230, 1.0165566, -17.0584924, -0.0480347, -0.3699341, 0.9785156, 48.7804878, 3.0792683, 0.2439024, -168.6250000, -21.8750000, -27.6250000
2021-10-22 14:30:01.351183 , -21.2295424, 0.7714386, -15.9029617, -0.0391846, -0.3820190, 0.9694214, -14.9085366, -11.5853659, 2.6829268, -163.5000000, -31.2500000, -25.7500000
2021-10-22 14:30:01.646566 , -21.9285964, 0.0018694, -16.2199465, 0.0428467, -0.4198608, 0.9690552, -4.4207317, 1.2804878, -8.8719512, -164.8750000, -38.8750000, -25.5000000
2021-10-22 14:30:01.942871 , -21.6858419, -0.9919319, -16.4052317, 0.0762939, -0.4299927, 0.9866333, 12.3170732, -0.7012195, -4.5426829, -168.5000000, -40.1250000, -31.2500000
2021-10-22 14:30:02.239096 , -20.9434337, -1.3340452, -16.0408540, 0.0587769, -0.3385620, 0.9757690, 4.1463415, 0.1524390, 8.1097561, -169.2500000, -42.7500000, -26.5000000
2021-10-22 14:30:02.535191 , -19.4874516, -1.7342932, -16.3775795, 0.0499268, -0.3053589, 1.0136719, 11.2195122, -0.0914634, -5.7317073, -172.8750000, -42.6250000, -29.6250000
2021-10-22 14:30:02.831172 , -18.6549557, -1.2461461, -15.9032234, 0.0144653, -0.2983398, 1.0159302, 3.4756098, 1.6768293, 12.7439024, -173.6250000, -45.7500000, -26.0000000
2021-10-22 14:30:03.128058 , -18.0394436, -1.4977148, -16.0558359, 0.0429077, -0.2921753, 1.0374146, -0.5182927, -0.0609756, -1.6158537, -172.8750000, -44.7500000, -24.2500000
2021-10-22 14:30:03.424173 , -18.5352864, -2.0145918, -16.3538073, 0.0660400, -0.3317871, 0.9949951, -8.5060976, 1.6158537, -8.7804878, -176.3750000, -42.7500000, -26.1250000
2021-10-22 14:30:03.720272 , -18.0948629, -1.1265572, -16.0141323, -0.0140991, -0.3045044, 0.9738159, 5.3963415, 7.2560976, -1.9817073, -173.5000000, -33.2500000, -34.0000000
2021-10-22 14:30:04.016648 , -17.6723123, -0.7721033, -14.3082856, -0.0056763, -0.2755737, 1.0217896, 0.2743902, -1.0060976, 9.6341463, -173.5000000, -19.5000000, -38.2500000
2021-10-22 14:30:04.312770 , -16.7548262, -0.6364744, -11.9665065, 0.0027466, -0.2359619, 1.0169067, 4.8780488, -3.8719512, 16.1585366, -158.8750000, -9.1250000, -33.7500000
2021-10-22 14:30:04.608887 , -18.5673661, -3.9067269, -22.6048863, 0.0221558, -0.2590942, 0.9820557, 5.3658537, -0.1524390, 13.9329268, -143.5000000, -24576.7500000, -29.2500000
2021-10-22 14:30:04.905025 , -21.9177686, 0.2269277, -12.1856503, 0.0321655, -0.2539062, 0.9633789, 13.7195122, 1.9512195, 2.9878049, -132.8750000, 8193.5000000, -31.3750000
2021-10-22 14:30:05.200894 , -21.6647310, -3.4554360, -22.3579115, -0.0600586, -0.1210327, 1.0344849, 0.9451220, -7.1341463, 7.6219512, -126.7500000, -16384.3750000, -30.3750000
2021-10-22 14:30:05.496871 , -25.3053043, 0.2746971, -11.8553700, 0.0668335, -0.2109985, 1.0223389, -5.3048780, -10.3048780, 10.5792683, -115.8750000, 32765.6250000, -26.5000000
2021-10-22 14:30:05.792798 , -22.2530075, 0.8090469, -10.2429231, 0.0531616, -0.1768799, 1.0777588, -4.6951220, 22.6219512, 11.3414634, -126.3750000, -4.3750000, -14.2500000
2021-10-22 14:30:06.088364 , -18.6235601, 1.0625759, -9.4588121, 0.0083008, -0.1083984, 1.0860596, 2.9573171, 13.9329268, -5.3353659, -143.2500000, -8.5000000, -9.3750000
2021-10-22 14:30:06.384742 , -16.1182028, -0.7176672, -9.3884472, 0.0679321, -0.1204834, 1.0427246, -0.8231707, -10.4268293, -17.2560976, -147.6250000, -12.8750000, -12.5000000
2021-10-22 14:30:06.680605 , -15.6612341, 0.3744060, -8.9090417, -0.0436401, -0.2312622, 0.9851074, -2.5609756, 9.9695122, -3.9939024, -157.5000000, -12.3750000, -13.5000000
2021-10-22 14:30:06.977022 , -14.9813930, 1.6376626, -8.6517730, -0.0738525, -0.2325439, 0.9904785, 3.9939024, 10.7621951, -3.9024390, -159.7500000, -13.3750000, -17.3750000
2021-10-22 14:30:07.273310 , -14.3042858, 3.0278491, -8.2680070, -0.1218872, -0.2228394, 0.9735107, 5.5792683, 6.1585366, -3.7500000, -160.8750000, -12.0000000, -18.5000000
2021-10-22 14:30:07.569461 , -14.2306751, 4.1682375, -7.6582212, -0.1329346, -0.2245483, 0.9058228, -0.0304878, 0.3353659, 2.1036585, -165.1250000, -13.0000000, -18.3750000
2021-10-22 14:30:07.865725 , -13.3729317, 3.6057142, -7.1040826, -0.0809937, -0.1756592, 0.9943237, -1.4939024, -14.4207317, 1.4634146, -155.1250000, -14.8750000, -13.2500000
2021-10-22 14:30:08.161674 , -13.2902508, 1.9183007, -7.2656319, 0.0313110, -0.2238770, 1.0088501, -2.3780488, -11.5548780, 1.0670732, -140.5000000, -19.2500000, -12.2500000
2021-10-22 14:30:08.457217 , -13.4153482, -0.7570361, -7.2099509, 0.0597534, -0.2183228, 0.9396973, -3.6890244, -30.7317073, -4.7256098, -116.1250000, -12.2500000, -15.3750000
2021-10-22 14:30:08.753454 , -14.1645323, -6.5666676, -19.5578918, 0.2293701, -0.1953735, 1.0603027, 10.0304878, -10.4878049, -12.8658537, -98.6250000, -16386.7500000, -24.7500000
2021-10-22 14:30:09.049851 , -16.7023933, -4.6865702, -8.2039819, 0.1932373, -0.1287842, 1.0122681, -3.5060976, -4.6341463, 5.2439024, -101.1250000, 8196.0000000, -41.0000000
2021-10-22 14:30:09.346123 , -17.7074079, -2.1489413, 2.9158176, 0.2027588, -0.0622559, 1.1056519, -4.0548780, 6.8292683, -1.8902439, -112.1250000, 32764.5000000, -40.6250000
2021-10-22 14:30:09.642440 , -15.3802355, -3.4780889, -0.2344435, 0.1872559, -0.1854858, 0.9961548, 2.5914634, 12.8048780, -9.8170732, -129.5000000, -10.7500000, -33.2500000
2021-10-22 14:30:09.938710 , -12.7489355, -3.3571343, -2.4651802, 0.0714111, -0.1571045, 0.9370117, 17.8658537, 7.8658537, -7.9268293, -142.2500000, -11.7500000, -36.7500000
2021-10-22 14:30:10.234703 , -11.1285854, -2.2289835, -3.8095753, 0.1068726, -0.1867676, 1.0823364, 13.2621951, 31.9512195, 6.5853659, -147.5000000, -14.7500000, -36.7500000
2021-10-22 14:30:10.531120 , -14.2597606, -1.8773397, -6.0096910, 0.0682983, -0.2967529, 0.9985962, -48.2012195, 11.2804878, 9.1158537, -149.6250000, -37.8750000, -26.5000000
2021-10-22 14:30:10.827884 , -15.1779867, -1.8491225, -8.3303614, 0.0734863, -0.5054932, 1.0398560, 27.0426829, 5.8231707, 6.8292683, -148.7500000, -44.5000000, -25.2500000
2021-10-22 14:30:11.141588 , -15.8799682, -2.0414352, -9.7484594, 0.0637817, -0.3897095, 1.0531006, 4.7865854, 0.5182927, 3.9634146, -146.6250000, -36.8750000, -23.3750000
2021-10-22 14:30:11.447005 , -15.5657766, -3.6174750, -11.4405763, 0.1591187, -0.3977051, 1.1903687, 12.8658537, -9.0243902, -6.5243902, -144.3750000, -37.1250000, -28.8750000
2021-10-22 14:30:11.742445 , -17.7445810, -3.4195457, -12.6037474, 0.0729370, -0.4255371, 1.0414429, -19.2073171, 2.0121951, 5.7926829, -139.1250000, -40.6250000, -25.1250000
2021-10-22 14:30:12.069277 , -17.8568630, -0.9560260, -13.3259914, -0.0757446, -0.3483276, 0.9678345, 5.3658537, 15.8841463, 4.2682927, -145.8750000, -36.0000000, -22.7500000
2021-10-22 14:30:12.364570 , -19.2966904, -1.8846304, -13.6713257, 0.0986938, -0.4584351, 0.9935913, 1.6768293, 4.9085366, -15.7926829, -144.1250000, -23.8750000, -20.3750000
2021-10-22 14:30:12.689268 , -20.8288575, -3.1382995, -12.0755189, 0.0720215, -0.4455566, 0.9222412, -1.8902439, -32.1036585, 41.0060976, -124.7500000, -35.3750000, -18.1250000
