
Sense HAT Test Program ...

Raspberry UTC Start2021-10-23 20:33:33.868535
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-23 20:33:34.164478 , -0.5289739, -8.5536921, -173.9762444, 0.2293091, -0.1383667, 0.9983521, -0.8841463, 0.4268293, 0.4268293, -201.0000000, -121.2500000, -64.0000000
2021-10-23 20:33:34.460461 , -0.7479921, -17.0971135, -167.1481401, 0.2295532, -0.1358643, 1.0010986, -1.4939024, 2.5609756, 0.0000000, -200.2500000, -124.5000000, -61.3750000
2021-10-23 20:33:34.756796 , -0.9199910, -25.5144590, -160.1678329, 0.2318115, -0.1308594, 0.9964600, -1.2195122, 2.8353659, 0.0000000, -200.8750000, -121.1250000, -63.0000000
2021-10-23 20:33:35.053159 , -1.1909226, -32.7880994, -153.2623108, 0.2299805, -0.1338501, 0.9998779, -1.3414634, 3.1097561, -0.0609756, -201.1250000, -123.6250000, -65.6250000
2021-10-23 20:33:35.349039 , -1.6618831, -38.2969987, -146.3919485, 0.2263794, -0.1287231, 1.0015869, -2.4085366, 3.8719512, 0.3963415, -199.8750000, -125.0000000, -60.5000000
2021-10-23 20:33:35.645501 , -2.3129184, -42.3031638, -140.1972154, 0.2347412, -0.1308594, 0.9981689, -1.4634146, 3.9634146, 0.1219512, -203.5000000, -122.5000000, -68.7500000
2021-10-23 20:33:35.941617 , -3.2464307, -44.6259769, -134.0128773, 0.2141113, -0.1343384, 1.0032349, -1.8597561, 5.6707317, -0.0609756, -202.8750000, -122.3750000, -64.0000000
2021-10-23 20:33:36.237769 , -4.3447716, -45.8947348, -127.8440123, 0.2054443, -0.1331787, 1.0023193, -1.4939024, 4.1158537, 0.0000000, -203.5000000, -123.3750000, -62.7500000
2021-10-23 20:33:36.533868 , -5.5565534, -46.2754055, -121.7041357, 0.1992798, -0.1354370, 1.0029297, -1.4939024, 3.2621951, -0.1829268, -205.8750000, -127.5000000, -64.1250000
2021-10-23 20:33:36.829816 , -6.9858198, -46.0686526, -115.6395675, 0.1979370, -0.1365967, 1.0093384, -1.4634146, 3.2621951, -0.1219512, -206.3750000, -122.2500000, -64.6250000
