
Sense HAT Test Program ...

Raspberry UTC Start2021-10-23 20:11:22.377371
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-23 20:11:30.468966 , -31.8098880, -3.2390593, -48.1555671, 0.0346069, -0.5781860, 0.9488525, 0.1524390, 0.2743902, 0.0000000, -142.2500000, -116.6250000, -96.0000000
2021-10-23 20:11:30.774096 , -31.7384158, -2.9395641, -47.7764908, 0.0333862, -0.5793457, 0.9498291, 0.2743902, 0.2134146, -0.0304878, -142.0000000, -115.0000000, -94.1250000
2021-10-23 20:11:31.067651 , -31.6706160, -2.6833670, -47.5335941, 0.0328369, -0.5786133, 0.9504395, 0.1219512, 0.3353659, 0.0000000, -142.5000000, -114.0000000, -99.0000000
2021-10-23 20:11:31.364109 , -31.6386082, -2.4971657, -47.2495140, 0.0338135, -0.5791626, 0.9495850, -0.0609756, 0.2743902, 0.0304878, -143.5000000, -114.2500000, -97.0000000
2021-10-23 20:11:31.660143 , -31.5792074, -2.3546715, -47.1147964, 0.0355835, -0.5798950, 0.9506836, 0.3658537, 0.3048780, 0.0000000, -143.2500000, -115.8750000, -98.1250000
2021-10-23 20:11:31.956819 , -31.5251518, -2.2257149, -47.0069274, 0.0341187, -0.5787354, 0.9497070, 0.3353659, 0.2439024, 0.0000000, -142.2500000, -116.5000000, -95.5000000
2021-10-23 20:11:32.252819 , -31.4849979, -2.1374932, -46.6426631, 0.0335083, -0.5770874, 0.9491577, 0.4878049, 0.3353659, 0.0000000, -144.6250000, -113.2500000, -92.7500000
2021-10-23 20:11:32.549084 , -31.4118983, -2.0530922, -46.4500036, 0.0346680, -0.5750122, 0.9490356, 0.7012195, 0.7317073, 0.0000000, -145.5000000, -114.0000000, -96.8750000
2021-10-23 20:11:32.845091 , -31.3864915, -1.9573895, -46.3443963, 0.0336304, -0.5795288, 0.9493408, 0.7317073, 0.9451220, 0.0000000, -142.3750000, -112.3750000, -95.5000000
2021-10-23 20:11:33.141232 , -31.3797660, -1.9051299, -46.2687675, 0.0336914, -0.5767212, 0.9468384, 0.1219512, 0.3048780, 0.0304878, -143.5000000, -113.8750000, -96.5000000
2021-10-23 20:11:33.441528 , -31.3617824, -1.8663800, -46.3574068, 0.0347900, -0.5780640, 0.9483643, 0.1524390, 0.1829268, -0.0304878, -142.3750000, -116.2500000, -97.3750000
2021-10-23 20:11:33.737849 , -31.3638939, -1.8522101, -46.2584069, 0.0352173, -0.5787964, 0.9490967, 0.2439024, 0.3353659, 0.0000000, -141.8750000, -111.6250000, -96.0000000
