
Sense HAT Test Program ...

Raspberry UTC Start2021-10-23 20:18:29.672343
UTC Current Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
2021-10-23 20:18:43.680529 , -0.9025269, 0.1563110, 0.2758789, 51.2804878, 134.6036585, -56.4634146
2021-10-23 20:18:43.985272 , -0.8611450, -0.0182495, -0.0154419, 57.0426829, 0.6707317, -6.3719512
2021-10-23 20:18:44.319023 , -0.8809814, 0.1086426, -0.1160889, 25.0609756, -49.4207317, 7.7743902
2021-10-23 20:18:44.625921 , -0.6562500, 0.2315063, 0.2477417, 32.1646341, -64.0853659, 22.0426829
2021-10-23 20:18:44.921970 , -0.3409424, 0.4545898, 0.6416016, 60.0609756, -18.1707317, 75.0914634
2021-10-23 20:18:45.228165 , -0.2628174, 0.7426758, 0.4022217, 7.3780488, 37.0121951, 56.7073171
2021-10-23 20:18:45.524838 , -0.0717773, 0.7572632, 0.2825317, -18.2621951, 39.0853659, 22.9268293
2021-10-23 20:18:45.839859 , -0.1646729, 0.9552002, 0.1519165, -17.8963415, 38.3231707, -31.4634146
2021-10-23 20:18:46.131672 , -0.3731689, 0.6431274, 0.0983887, -25.4268293, -5.6707317, -57.1036585
2021-10-23 20:18:46.426593 , -0.3768921, 0.2037964, 0.3719482, -37.9268293, -72.6524390, -18.9329268
2021-10-23 20:18:46.722594 , 0.0156250, 0.3066406, 0.8436890, -63.5060976, -84.1768293, 41.6158537
2021-10-23 20:18:47.018104 , 0.3880005, -0.0371094, 0.9936523, -60.8536585, -43.7804878, -3.2012195
2021-10-23 20:18:47.314053 , 0.4102783, -0.2783813, 1.2025757, -20.9451220, 32.8658537, -31.7378049
2021-10-23 20:18:47.609975 , 0.1938477, -0.4388428, 1.0145264, 73.9939024, 53.3536585, -12.8048780
2021-10-23 20:18:47.906129 , 0.0216064, -0.0497437, 0.9328613, 14.7865854, 47.6219512, 12.3170732
2021-10-23 20:18:48.201621 , -0.3010254, 0.1318359, 0.6596069, 20.0914634, 34.2987805, 13.0182927
2021-10-23 20:18:48.497289 , -0.1493530, 0.3526611, 0.7570190, 6.4939024, -1.4939024, 26.1890244
2021-10-23 20:18:48.793354 , -0.0215454, 0.4374390, 0.8422852, 2.1341463, -14.5731707, 53.4756098
2021-10-23 20:18:49.089618 , -0.0390015, 0.5321655, 0.7062988, 22.4085366, 34.0853659, 22.5000000
2021-10-23 20:18:49.385660 , -0.2590942, 0.7359619, 0.2741089, 26.4634146, 84.9390244, -42.6524390
2021-10-23 20:18:49.681516 , -0.4865723, 0.5978394, -0.0430298, -22.1341463, 144.2682927, -63.8719512
2021-10-23 20:18:49.977170 , -0.5734253, 0.4710693, -0.3104858, -54.1158537, 53.9329268, 6.1280488
2021-10-23 20:18:50.273106 , -0.3773193, 0.5803223, -0.3240356, -39.5121951, 94.1158537, 45.5182927
2021-10-23 20:18:50.569260 , 0.0065308, 0.7767944, -0.2736206, -27.4085366, 68.7195122, 17.9268293
2021-10-23 20:18:50.865099 , 0.1575317, 0.7103882, -0.4005737, 29.1463415, 282.8658537, 45.1829268
2021-10-23 20:18:51.160986 , 0.5440674, 0.7302246, -0.1628418, 25.6097561, 75.3658537, -15.2134146
2021-10-23 20:18:51.456955 , 0.6680298, 0.6822510, -0.0487061, -4.5121951, 67.2256098, -13.2621951
2021-10-23 20:18:51.752832 , 0.1714478, 0.6752930, 0.5238037, -4.0853659, 174.5731707, -40.4573171
2021-10-23 20:18:52.048903 , 0.0492554, 0.7067871, 0.4816895, 13.7195122, 17.9878049, -17.3475610
2021-10-23 20:18:52.344284 , -0.0997925, 0.7057495, 0.4117432, 20.8231707, 25.5182927, -21.2804878
2021-10-23 20:18:52.639894 , -0.2310791, 0.6873779, 0.3182373, 12.2256098, 32.9573171, -21.7682927
2021-10-23 20:18:52.935929 , -0.5206299, 0.6381836, 0.3575439, -118.0487805, 204.5731707, -67.9573171
2021-10-23 20:18:53.231783 , -0.7470703, 0.3120728, 0.0213013, -79.9695122, 59.6036585, -32.6524390
2021-10-23 20:18:53.526985 , -0.8470459, -0.0363159, -0.0469971, -39.7865854, 23.3841463, -93.8719512
2021-10-23 20:18:53.822935 , -0.9114380, -0.4735107, 0.2976074, 114.2682927, -252.6829268, -34.6951220
2021-10-23 20:18:54.118763 , -0.0568848, -0.5183716, 1.0382080, 23.1402439, -127.1341463, -39.4817073
2021-10-23 20:18:54.415341 , 0.6168823, -0.1831665, 0.9053955, 112.5000000, -170.0609756, -14.2378049
2021-10-23 20:18:54.711500 , 0.7918701, 0.1130981, 0.5765381, 8.9024390, -83.8109756, -39.5426829
2021-10-23 20:18:55.007362 , 0.4454956, 0.5103760, 0.4603271, 8.6585366, 103.3841463, -137.3780488
2021-10-23 20:18:55.303388 , -0.4964600, 0.5575562, 0.3767700, 15.1219512, 149.9085366, -78.2926829
2021-10-23 20:18:55.599388 , -0.6136475, 0.5070190, -0.0050659, 29.7865854, 25.4878049, -28.3231707
2021-10-23 20:18:55.895378 , -0.6789551, 0.3027344, 0.0529175, -238.1097561, 79.9085366, -38.6585366
2021-10-23 20:18:56.190734 , -0.8833008, -0.0283203, 0.4699707, -114.7865854, -21.3109756, -22.4695122
2021-10-23 20:18:56.497804 , -0.8306885, -0.1804810, 0.4117432, -18.4756098, 27.9268293, -22.4695122
2021-10-23 20:18:56.802930 , -0.9396973, -0.3010864, 0.1648560, -4.3597561, 44.3902439, -9.7560976
2021-10-23 20:18:57.128640 , -0.9448242, -0.3174438, 0.0136108, -4.9695122, -15.2743902, 1.4024390
2021-10-23 20:18:57.425900 , -0.8834839, -0.2863159, 0.3845215, 29.4512195, -169.6341463, 30.8841463
2021-10-23 20:18:57.721605 , 0.6389160, -0.3294067, 0.9088135, -1.8597561, -225.7012195, 64.6341463
2021-10-23 20:18:58.025944 , -0.0776367, -0.2324219, 0.8456421, 12.4085366, 234.1768293, -34.6341463
2021-10-23 20:18:58.323180 , -0.9985962, -0.1058350, -0.1057739, 14.6951220, 145.3963415, -28.9634146
2021-10-23 20:18:58.648606 , 0.2993774, -0.2811279, 0.5587158, 17.3170732, -497.8658537, 140.9146341
2021-10-23 20:18:58.940355 , 0.4045410, -0.1387329, 0.9242554, -22.9878049, 286.0060976, -102.4390244
2021-10-23 20:18:59.236017 , -1.1017456, -0.2947998, 0.0273438, 4.2682927, 213.5670732, -97.5914634
2021-10-23 20:18:59.531895 , -0.7960205, -0.6968994, -0.4606934, -41.6768293, -128.2012195, -100.8841463
2021-10-23 20:18:59.828007 , -0.4030151, -0.9849243, 0.1999512, -0.2743902, -281.1280488, 11.0365854
2021-10-23 20:19:00.123871 , 0.7426147, -0.8278809, 0.3796387, 137.4085366, -121.9512195, 5.6402439
2021-10-23 20:19:00.419780 , -0.0177612, -0.0758057, 0.9088135, 68.7195122, 285.7926829, -107.1341463
2021-10-23 20:19:00.715802 , -0.6452026, 0.0487671, 0.6864624, 4.1158537, 3.0182927, 16.7073171
2021-10-23 20:19:01.011625 , -0.6995239, 0.1443481, 0.5603638, 23.0487805, 35.4878049, 12.6829268
2021-10-23 20:19:01.307394 , -0.7493896, 0.2438965, 0.3792114, 10.9756098, -33.1707317, 18.7195122
2021-10-23 20:19:01.603580 , -0.6059570, 0.2910767, 0.3305664, 25.5792683, 100.9756098, 189.0548780
2021-10-23 20:19:01.899660 , 1.5198975, 0.4453125, 0.2993164, 34.1158537, -9.7256098, 117.7439024
2021-10-23 20:19:02.195778 , -0.2725220, 0.6047974, 0.0845947, 37.7134146, -15.6097561, -185.3658537
2021-10-23 20:19:02.491574 , -0.7509155, 0.5687256, -0.0276489, -12.7134146, 39.5426829, 36.4939024
2021-10-23 20:19:02.787390 , 0.6028442, 0.4572754, 0.0399170, -98.2621951, 20.0914634, 186.7682927
2021-10-23 20:19:03.083180 , 0.5346680, 0.5476685, 0.1343994, 33.7500000, -56.6768293, -102.2560976
2021-10-23 20:19:03.379051 , -0.9904785, 0.0792236, -0.4887085, 69.3902439, -24.8170732, -372.6829268
2021-10-23 20:19:03.674970 , -0.9010620, 0.1194458, -0.3038330, 71.5548780, 86.7073171, 63.0792683
2021-10-23 20:19:03.970733 , -0.4502563, -0.0300903, -0.8691406, 60.6707317, 24.1158537, 45.7926829
2021-10-23 20:19:04.266642 , -0.3182373, -0.1739502, -1.0841675, -113.3231707, 3.1402439, 27.8963415
2021-10-23 20:19:04.562814 , 0.2621460, 0.6552124, 0.3878174, -103.4451220, -134.1463415, 196.7378049
